transaction_id,wallet_id,amount,timestamp,country,merchant,wallet_age_days,previous_transactions
TX0,WALLET003,208,2026-08-28 20:46:32.271973,Pakistan,Coinbase,178,333
TX1,WALLET004,158051,2026-02-12 20:46:32.272014,UK,Kraken,206,133
TX2,WALLET002,1562,2026-09-18 20:46:32.272025,UK,Coinbase,690,383
TX3,WALLET005,3715,2025-12-28 20:46:32.272032,Russia,Kraken,664,372
TX4,WALLET003,3265,2025-10-28 20:46:32.272038,Russia,Coinbase,832,177
TX5,WALLET005,2371,2025-10-29 20:46:32.272044,Pakistan,Kraken,667,203
TX6,WALLET003,3048,2026-07-15 20:46:32.272050,UK,Kraken,164,16
TX7,WALLET005,934,2025-10-03 20:46:32.272055,USA,Coinbase,384,153
TX8,WALLET004,4168,2026-04-06 20:46:32.272061,Pakistan,Kraken,56,374
TX9,WALLET003,2808,2026-04-12 20:46:32.272067,Pakistan,Coinbase,763,116
TX10,WALLET004,3139,2025-11-23 20:46:32.272084,UK,Binance,103,398
TX11,WALLET001,4917,2025-12-24 20:46:32.272091,Germany,Coinbase,798,81
TX12,WALLET003,1411,2025-09-22 20:46:32.272096,UK,Coinbase,336,335
TX13,WALLET002,3948,2026-02-21 20:46:32.272103,Germany,Coinbase,264,278
TX14,WALLET001,4876,2026-02-02 20:46:32.272108,UK,Binance,746,379
TX15,WALLET003,4170,2026-04-07 20:46:32.272113,UK,Kraken,36,155
TX16,WALLET002,4459,2025-10-18 20:46:32.272118,Germany,Kraken,982,137
TX17,WALLET005,3028,2026-08-25 20:46:32.272133,USA,Coinbase,210,479
TX18,WALLET002,2318,2026-04-27 20:46:32.272138,USA,Kraken,194,47
TX19,WALLET001,4106,2026-01-12 20:46:32.272143,UK,Binance,101,318
TX20,WALLET005,2566,2026-07-07 20:46:32.272148,Russia,Binance,640,187
TX21,WALLET004,4798,2026-03-19 20:46:32.272153,Russia,Kraken,998,271
TX22,WALLET004,1143,2025-11-06 20:46:32.272159,UK,Binance,244,130
TX23,WALLET002,1794,2026-06-06 20:46:32.272164,Germany,Kraken,908,293
TX24,WALLET004,3177,2025-09-26 20:46:32.272169,UK,Kraken,541,472
TX25,WALLET004,2263,2026-04-03 20:46:32.272175,UK,Coinbase,356,344
TX26,WALLET004,839,2026-01-09 20:46:32.272180,Pakistan,Binance,244,36
TX27,WALLET001,170,2026-02-24 20:46:32.272186,Germany,Kraken,398,335
TX28,WALLET001,2290,2026-05-24 20:46:32.272200,Germany,Coinbase,827,400
TX29,WALLET001,2922,2026-07-24 20:46:32.272206,Pakistan,Kraken,22,328
TX30,WALLET005,2296,2026-08-26 20:46:32.272219,UK,Binance,135,421
TX31,WALLET003,1500,2026-08-17 20:46:32.272225,UK,Binance,523,42
TX32,WALLET001,4091,2026-01-15 20:46:32.272230,USA,Binance,42,484
TX33,WALLET001,3603,2026-09-02 20:46:32.272236,UK,Binance,865,128
TX34,WALLET004,3601,2025-12-09 20:46:32.272241,Pakistan,Coinbase,510,334
TX35,WALLET003,3425,2025-12-30 20:46:32.272246,Germany,Coinbase,844,179
TX36,WALLET001,621,2026-08-01 20:46:32.272251,Germany,Binance,968,68
TX37,WALLET001,2509,2026-02-28 20:46:32.272256,Germany,Binance,560,32
TX38,WALLET003,131697,2026-03-27 20:46:32.272262,USA,Binance,290,305
TX39,WALLET004,2300,2026-02-23 20:46:32.272267,Germany,Binance,736,295
TX40,WALLET003,4439,2025-11-12 20:46:32.272272,UK,Kraken,913,223
TX41,WALLET002,4560,2026-06-10 20:46:32.272277,Germany,Kraken,593,464
TX42,WALLET001,4949,2025-10-24 20:46:32.272282,USA,Binance,441,333
TX43,WALLET002,866,2026-04-04 20:46:32.272287,USA,Binance,137,125
TX44,WALLET004,1341,2026-09-06 20:46:32.272292,UK,Kraken,203,331
TX45,WALLET003,4634,2026-09-07 20:46:32.272297,Russia,Binance,245,4
TX46,WALLET001,2741,2025-09-21 20:46:32.272302,Germany,Binance,182,488
TX47,WALLET001,3190,2026-04-18 20:46:32.272307,USA,Coinbase,82,157
TX48,WALLET005,3401,2026-03-31 20:46:32.272312,Russia,Coinbase,809,254
TX49,WALLET004,3330,2025-12-02 20:46:32.272325,Pakistan,Binance,762,385
TX50,WALLET001,47,2026-04-08 20:46:32.272332,Russia,Kraken,86,14
TX51,WALLET004,429,2025-10-29 20:46:32.272337,USA,Coinbase,182,150
TX52,WALLET002,131071,2026-04-17 20:46:32.272343,UK,Coinbase,300,320
TX53,WALLET004,1913,2025-12-17 20:46:32.272357,Germany,Kraken,828,28
TX54,WALLET004,2629,2025-12-08 20:46:32.272362,Pakistan,Kraken,902,36
TX55,WALLET001,3487,2025-09-23 20:46:32.272369,Pakistan,Kraken,628,259
TX56,WALLET002,115562,2025-11-18 20:46:32.272374,Germany,Coinbase,71,453
TX57,WALLET001,2404,2025-12-05 20:46:32.272379,Pakistan,Kraken,293,414
TX58,WALLET004,1942,2025-09-27 20:46:32.272385,Pakistan,Binance,758,216
TX59,WALLET005,3162,2026-02-05 20:46:32.272390,USA,Coinbase,414,280
TX60,WALLET005,3466,2025-10-18 20:46:32.272404,Russia,Coinbase,460,309
TX61,WALLET005,3545,2026-06-28 20:46:32.272410,Germany,Binance,26,438
TX62,WALLET004,1012,2025-11-15 20:46:32.272415,Pakistan,Kraken,241,138
TX63,WALLET001,1980,2026-06-19 20:46:32.272420,Russia,Coinbase,775,251
TX64,WALLET004,3445,2026-02-18 20:46:32.272425,USA,Kraken,819,317
TX65,WALLET001,1821,2026-06-20 20:46:32.272431,Germany,Binance,792,370
TX66,WALLET003,3361,2026-08-02 20:46:32.272436,Russia,Coinbase,216,286
TX67,WALLET001,1625,2026-08-11 20:46:32.272442,Germany,Binance,471,237
TX68,WALLET002,4829,2025-11-28 20:46:32.272447,UK,Coinbase,676,147
TX69,WALLET004,4960,2025-12-03 20:46:32.272463,Pakistan,Kraken,998,14
TX70,WALLET003,1275,2025-09-30 20:46:32.272470,Pakistan,Coinbase,181,125
TX71,WALLET001,4990,2025-12-03 20:46:32.272676,Russia,Binance,976,204
TX72,WALLET005,4454,2025-12-10 20:46:32.272703,Russia,Binance,414,276
TX73,WALLET003,62412,2026-04-17 20:46:32.272725,Germany,Kraken,493,433
TX74,WALLET004,3771,2026-05-07 20:46:32.272738,USA,Coinbase,316,278
TX75,WALLET003,2735,2025-10-03 20:46:32.272747,Germany,Coinbase,21,464
TX76,WALLET005,97969,2026-01-17 20:46:32.272758,USA,Kraken,76,490
TX77,WALLET005,2150,2026-08-24 20:46:32.272770,Russia,Coinbase,151,107
TX78,WALLET005,693,2026-05-04 20:46:32.272779,UK,Kraken,341,431
TX79,WALLET002,361,2025-10-21 20:46:32.272792,Pakistan,Coinbase,519,478
TX80,WALLET002,4704,2026-03-27 20:46:32.272810,UK,Coinbase,815,492
TX81,WALLET005,3810,2026-02-14 20:46:32.272827,Germany,Coinbase,981,358
TX82,WALLET003,3908,2025-11-19 20:46:32.272931,USA,Kraken,174,335
TX83,WALLET001,1405,2026-08-17 20:46:32.272946,Russia,Kraken,101,354
TX84,WALLET005,2783,2025-11-07 20:46:32.272964,UK,Coinbase,115,10
TX85,WALLET005,2058,2026-09-04 20:46:32.272976,USA,Kraken,408,79
TX86,WALLET004,2389,2026-07-30 20:46:32.272985,Germany,Kraken,334,33
TX87,WALLET001,4544,2025-09-24 20:46:32.273008,Germany,Coinbase,52,500
TX88,WALLET001,2474,2025-12-09 20:46:32.273037,Russia,Kraken,519,415
TX89,WALLET004,2218,2026-04-27 20:46:32.273043,Pakistan,Coinbase,223,58
TX90,WALLET005,3581,2025-11-22 20:46:32.273048,USA,Coinbase,400,256
TX91,WALLET004,2882,2026-04-17 20:46:32.273053,Russia,Binance,603,458
TX92,WALLET001,197,2025-10-20 20:46:32.273059,Pakistan,Binance,197,301
TX93,WALLET005,644,2025-11-21 20:46:32.273066,Russia,Kraken,631,15
TX94,WALLET005,3514,2026-06-08 20:46:32.273071,Pakistan,Kraken,845,153
TX95,WALLET001,65608,2026-06-22 20:46:32.273076,USA,Kraken,861,420
TX96,WALLET003,2254,2026-04-14 20:46:32.273082,UK,Coinbase,345,452
TX97,WALLET004,1930,2025-12-02 20:46:32.273087,Pakistan,Kraken,300,419
TX98,WALLET002,4833,2026-08-12 20:46:32.273092,Russia,Binance,357,155
TX99,WALLET002,2233,2026-03-10 20:46:32.273097,USA,Binance,567,286
TX100,WALLET002,4753,2026-09-03 20:46:32.273102,Germany,Coinbase,618,50
TX101,WALLET002,2522,2025-09-23 20:46:32.273108,UK,Coinbase,930,358
TX102,WALLET002,4566,2026-02-06 20:46:32.273122,Germany,Binance,411,377
TX103,WALLET005,2930,2026-01-29 20:46:32.273128,USA,Coinbase,102,108
TX104,WALLET004,3203,2026-07-14 20:46:32.273133,USA,Coinbase,762,50
TX105,WALLET004,1340,2026-02-17 20:46:32.273138,Pakistan,Binance,205,324
TX106,WALLET003,2079,2026-03-10 20:46:32.273144,UK,Kraken,58,403
TX107,WALLET005,277,2026-06-23 20:46:32.273149,USA,Binance,192,493
TX108,WALLET004,3358,2026-07-08 20:46:32.273163,Pakistan,Coinbase,862,240
TX109,WALLET002,3298,2026-02-20 20:46:32.273170,Russia,Binance,578,412
TX110,WALLET002,4740,2026-08-07 20:46:32.273175,USA,Binance,348,272
TX111,WALLET003,4244,2026-05-27 20:46:32.273180,UK,Kraken,840,240
TX112,WALLET003,118,2026-04-04 20:46:32.273185,Germany,Coinbase,803,384
TX113,WALLET002,4095,2025-11-19 20:46:32.273190,USA,Binance,443,385
TX114,WALLET002,3196,2026-01-30 20:46:32.273196,Germany,Binance,843,125
TX115,WALLET005,2171,2025-11-15 20:46:32.273201,USA,Kraken,270,156
TX116,WALLET003,4103,2026-06-25 20:46:32.273205,Pakistan,Binance,136,312
TX117,WALLET005,2578,2025-12-05 20:46:32.273219,Germany,Binance,392,306
TX118,WALLET004,3173,2026-05-07 20:46:32.273225,USA,Binance,454,360
TX119,WALLET001,117357,2026-07-13 20:46:32.273230,UK,Kraken,62,227
TX120,WALLET004,375,2025-12-25 20:46:32.273236,Russia,Kraken,750,90
